entityId,候选物品,数量,来源证据,是否死亡掉落,可再生性,刷取风险,经济影响,最终决定,排除原因
minecraft:chicken,minecraft:egg,1,"原料单价参考表 c:eggs=5 铜币(已定义);鸡蛋为下蛋产物非死亡掉落;可经烹饪(cooked_egg=8,猜想)间接进入 Bountiful 需求链,需养殖+烹饪成本,间接闭环风险低",否(死亡不掉蛋),可再生(养殖+下蛋),低,低(已定义价 5),APPROVED,
minecraft:pig,minecraft:porkchop,1,"原料单价参考表 c:foods/raw_pork=15 铜币(已定义);可经烹饪(熟食加工品,悬赏需求侧)间接进入 Bountiful 需求链,间接闭环风险低",是(猪死亡掉落生猪排),可再生(养殖),低,低(已定义价 15),APPROVED,
minecraft:rabbit,minecraft:rabbit,1,"原料单价参考表 c:foods/raw_rabbit=12 铜币(猜想价,低量级);可经烹饪间接进入 Bountiful 需求链;无核心材料",是(兔死亡掉落兔肉),可再生(养殖),低,低(猜想价 12),APPROVED,
minecraft:cow,minecraft:leather,1,"原料单价参考表 leather=8 铜币(猜想价,非已定义);未发现明确的皮革经济锚点",是(牛死亡掉落皮革),可再生(养殖),低,证据不足(未定价),REJECTED,皮革单价为猜想、证据不足;后续评审
minecraft:sheep,minecraft:white_wool,1,"原料单价参考表无 white_wool 明确价格(未定价);当前 shadow_loot schema 不区分羊毛颜色——任意颜色羊都会产出白羊毛,语义不符",是(羊死亡掉落羊毛),可再生(养殖),低,未定价,REJECTED,white_wool 未定价且 schema 不分羊毛颜色;后续评审
minecraft:wolf,,,"驯养动物;死亡不掉落物品(仅经验),无自然掉落候选",否,可再生,低,低,REJECTED,无候选;不凑数量
minecraft:cat,,,驯养动物;无自然掉落,否,可再生,低,低,REJECTED,无候选
minecraft:iron_golem,minecraft:iron_ingot,,铁锭为装备/工具核心材料(维修消耗);铁傀儡死亡必掉铁锭→重复风险高,是(必掉铁锭),部分可再生(铁傀儡农场),中高,中高(核心材料),REJECTED,死亡掉落重复+核心材料价值
minecraft:blaze,minecraft:blaze_rod,,blaze_rod 为酿造核心材料;blaze 死亡必掉烈焰棒→重复风险,是(必掉烈焰棒),可再生(刷怪塔),中,中高(核心材料),REJECTED,稀有/核心材料禁止
minecraft:ghast,minecraft:ghast_tear,,ghast_tear 高价值(再生/酿造核心)且获取低效(ghast 刷怪塔可再生但缓慢),是(唯一掉落),低效可再生,低,中高,REJECTED,稀有材料禁止
