等级,等级名,悬赏池,入池说明,产物显示名,产物ID,饥饿值,饱和度,效果buff,原料种类数,原料槽位总数,稀有原料数,中间产物原料数,代表机器,代表配方ID,代表配方原料,综合分,分级依据,配方条数,模组,建议难度系数,建议悬赏价值备注,悬赏池文件,悬赏unitWorth
1,T1·简餐基础,通用池,非通用烤熟类,疙瘩汤,kaleidoscope_cookery:dough_drop_soup,8.0,16.0,温暖 1分20秒,2,2,0,1,汤锅(灵活),flex_stockpot/dough_drop_soup.json,生菜(#c:crops/lettuce) + 面粉(#c:flour),19.7,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,15
1,T1·简餐基础,T2菜池,非通用烤熟类,仰望星空派,kaleidoscope_cookery:stargazy_pie,13.0,16.0,胀气 30秒、霉运 3分,2,2,0,1,炒锅(灵活),flex_pot/stargazy_pie.json,生鱼(#c:raw_fishes) + 南瓜派(minecraft:pumpkin_pie),19.7,负面趣味菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_t2_objs,35
1,T1·简餐基础,通用池,非通用烤熟类,鳕鱼寿司,farmersdelight:cod_roll,7.0,8.4,,2,3,0,2,工作台,cod_roll.json,生鳕鱼片(farmersdelight:cod_slice) + 生鳕鱼片(farmersdelight:cod_slice) + 米饭(kaleidoscope_cookery:cooked_rice),18.18,少原料基础菜,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,20
1,T1·简餐基础,通用池,非通用烤熟类,鲑鱼寿司,farmersdelight:salmon_roll,7.0,8.4,,2,3,0,2,工作台,salmon_roll.json,生鲑鱼片(farmersdelight:salmon_slice) + 生鲑鱼片(farmersdelight:salmon_slice) + 米饭(kaleidoscope_cookery:cooked_rice),18.18,少原料基础菜,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,22
1,T1·简餐基础,通用池,非通用烤熟类,牛丸汤,kaleidoscope_cookery:beef_meatball_soup,6.0,8.0,温暖 8分,2,2,0,1,汤锅(灵活),flex_stockpot/beef_meatball_soup.json,生丸子(kaleidoscope_cookery:raw_meatball) + 生菜(#c:crops/lettuce),17.1,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,23
1,T1·简餐基础,通用池,非通用烤熟类,饺子,kaleidoscope_cookery:dumpling,8.0,16.0,温暖 1分20秒,1,1,0,1,汤锅(盖盖煮制),stockpot/dumpling_count_1.json,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),16.7,少原料基础菜,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,11
1,T1·简餐基础,通用池,非通用烤熟类,馅饼,kaleidoscope_cookery:meat_pie,8.0,16.0,温暖 1分20秒,1,1,0,1,炒锅(置于炉灶上),pot/stuffed_dough_food_to_meat_pie_1.json,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),16.7,少原料基础菜,9,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,11
1,T1·简餐基础,通用池,分档菜池,蛋炒饭,kaleidoscope_cookery:egg_fried_rice,8.0,14.0,,2,2,0,1,炒锅(灵活),flex_pot/egg_fried_rice.json,蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),16.3,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,12
1,T1·简餐基础,通用池,分档菜池,夹蛋三明治,farmersdelight:egg_sandwich,8.0,12.8,,2,3,0,1,工作台,egg_sandwich.json,面包(#c:foods/bread) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),16.06,少原料基础菜,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,33
1,T1·简餐基础,通用池,非通用烤熟类,大骨汤,farmersdelight:bone_broth,8.0,11.2,营养 1分,2,2,0,0,"厨锅(烹饪锅,置于炉灶上)",cooking/bone_broth.json,骨头(#c:bones) + 任选其一:[发光浆果(minecraft:glow_berries) | 蘑菇(#c:mushrooms) | 垂根(minecraft:hanging_roots) | 发光地衣(minecraft:glow_lichen)],15.24,少原料基础菜,1,农夫乐事,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,23
1,T1·简餐基础,通用池,分档菜池,土豆炖牛肉,kaleidoscope_cookery:braised_beef_with_potatoes,6.0,8.0,温暖 8分,2,2,0,0,汤锅(灵活),flex_stockpot/braised_beef_with_potatoes.json,生牛肉(#c:foods/raw_beef) + 马铃薯(minecraft:potato),13.6,少原料基础菜,2,万花筒烹饪,1.0,原料成本×1.0～1.2，铜币档,food_common_objs,19
