等级,等级名,悬赏池,产物显示名,产物ID,饥饿值,效果buff,原料成本合计_铜币,难度系数,增益系数,通用池系数,理论价值,建议unitWorth_铜币,建议数量min,建议数量max,单次支付min,单次支付max,含猜想原料,计算过程,代表配方原料,模组,悬赏池文件,计价修正说明,数据同步来源
2,T2·家常中档,T2菜池,一盘水煎包,kaleidoscope_cookery:shengjian_mantou_plate,,,127,1.05,1.0,1.0,134,134,1,2,134,268,是,(5×25+碗2)×1.05=134,水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 碗(minecraft:bowl),万花筒烹饪,food_t2_objs,包子链：最便宜裹馅路径+用户指定25,bounty_pools JSON
1,T1·简餐基础,通用池,冷切火腿片,kaleidoscope_cookery:cold_cut_ham_slices,4.0,,146,1.15,1.0,1.0,167.9,168,1,6,168,1008,是,原料合计146 × T1×1.15 × 无增益×1.0 = 167.90 → ceil → 168；明细: kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + kaleidoscope_cookery:cooked_pork_belly=18(猜想) + minecraft:bowl=2(猜想),熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 碗(minecraft:bowl),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,浆果拼盘,kaleidoscope_cookery:berry_platter,,,62,1.05,1.0,1.0,66,66,1,4,66,264,,4甜6+4发光9+碗2=62 ×1.05 → 66,,,food_common_objs,整盘/组合链重算,bounty_pools JSON 补录
1,T1·简餐基础,通用池,烤鸡,farmersdelight:roast_chicken_block,,,52,1.15,1.0,1.0,59.8,60,1,6,60,360,是,原料合计52 × T1×1.15 × 无增益×1.0 = 59.80 → ceil → 60；明细: #c:crops/onion=6(已定义) + #c:eggs=5(已定义) + #c:foods/bread=12(猜想) + #c:crops/carrot=4(猜想) + minecraft:cooked_chicken=9(猜想) + minecraft:baked_potato=5(猜想) + #c:crops/carrot=4(猜想) + minecraft:bowl=2(猜想) + minecraft:baked_potato=5(猜想),洋葱(#c:crops/onion) + 蛋(#c:eggs) + 面包(#c:foods/bread) + 胡萝卜(#c:crops/carrot) + 熟鸡肉(minecraft:cooked_chicken) + 烤马铃薯(minecraft:baked_potato) + 胡萝卜(#c:crops/carrot) + 碗(minecraft:bowl) + 烤马铃薯(minecraft:baked_potato),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,蛋糕切片,farmersdelight:cake_slice,2.0,速度 20秒,40,1.15,1.15,0.95,50.25,51,1,6,51,306,是,原料合计40 × T1×1.15 × 轻度×1.15 × 通用池×0.95 = 50.25 → ceil → 51；明细: minecraft:cake=40(猜想),蛋糕(minecraft:cake),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,巧克力派切片,farmersdelight:chocolate_pie_slice,,,35,1.15,1.0,1.0,40.25,41,2,8,82,328,是,原料合计35 × T1×1.15 × 无增益×1.0 = 40.25 → ceil → 41；明细: farmersdelight:chocolate_pie=35(猜想),巧克力派(farmersdelight:chocolate_pie),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,甜浆果芝士派切片,farmersdelight:sweet_berry_cheesecake_slice,,,35,1.15,1.0,1.0,40.25,41,2,8,82,328,是,原料合计35 × T1×1.15 × 无增益×1.0 = 40.25 → ceil → 41；明细: farmersdelight:sweet_berry_cheesecake=35(猜想),甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,水煎包,kaleidoscope_cookery:shengjian_mantou,2.0,温暖 5分,18,1.35,1.15,1.0,25,25,2,12,50,300,是,裹馅18×1.25×1.10=25,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),万花筒烹饪,food_common_objs,包子链：最便宜裹馅路径+用户指定25,bounty_pools JSON
1,T1·简餐基础,通用池,苹果派切片,farmersdelight:apple_pie_slice,,,32,1.15,1.0,1.0,36.8,37,2,8,74,296,是,原料合计32 × T1×1.15 × 无增益×1.0 = 36.80 → ceil → 37；明细: farmersdelight:apple_pie=32(猜想),苹果派(farmersdelight:apple_pie),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,南瓜派切片,farmersdelight:pumpkin_pie_slice,,,30,1.15,1.0,1.0,34.5,35,2,12,70,420,是,原料合计30 × T1×1.15 × 无增益×1.0 = 34.50 → ceil → 35；明细: minecraft:pumpkin_pie=30(猜想),南瓜派(minecraft:pumpkin_pie),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
